UUID,10a_OpenEnd,10a_A,10a_B,10a_B1,10a_B2,10a_B3,10a_B4,10a_B5,10a_B6,10a_B7,10a_B8,10a_C,10a_D,10a_E,10a_F,10a_G
00201c28-8697-4909-b2f6-6901dc8ca41e,Women's rights in the shadow of Sharia ,,,,,,,,,,,,1,1,,
002cbc0e-bd02-4682-9b66-38f752978c9c,School ... The release of women human rights ,,1,1,,,,,,,,1,,,,
019efba7-e3e5-4448-a7c4-60de921cd02d,First Education Second Health Services Third Husband Choice ,,1,1,,1,,,,,1,1,,,,
023885e5-1bf6-4dde-96b3-6042bf7bb6e1,"School, freedom, love ",,1,1,1,,,,,,1,,,,,
028f3e2a-0bc8-4d0c-9d69-bcab80ef56ad,"The holy religion of Islam has given full rights to women. Without the holy religion of Islam, the rights of women are disrespectful to women. As long as women are wearing hijab, Islam gives women a comfortable life at home. The so-called human dignity of women ",,,,,,,,,,,,1,1,,
0470b431-7ee0-44c3-9780-084e3e38d40c,Homework Islamic hijab and self control ,,1,1,,,,,1,,1,,1,1,,
05e8a37c-9f22-4259-af0f-b158246e04e5,"Afghan woman is safe in her country, you unscrupulous people, leave the money of this country first so that she will be satisfied with all women, then if you are not really a hypocrite, think of an Afghan woman. ",,,,,,,,,,,,,,1,1
06ed7bd9-8a29-443c-9bc2-d05ef04168e4,Equal rights take precedence ,1,,,,,,,,,,,,,,
073dcb73-d877-4b22-bfe4-5d3d71635299,The Qur'an provides better rights for women ,,,,,,,,,,,1,1,,,
0764bf69-a215-4fce-ab6a-a0b3e34802d5,The woman should be able to open half-life NGO schools and not oppress the woman and give her a place in the government. ,,,,,,,,,,,1,,,,
076dcd08-dce0-4cf1-a1c7-b629e900f274,School of Business Law ,,1,1,,,,,,,,,,,,
07cbbf1d-6f3a-4646-a5ee-47f42e1df9d4,"In principle, the rights of no individual are important, whether it is the system, the rights of each individual of this oppressed nation, or any religion. ",,,,,,,,,,,,,,,1
07cc86c6-bbeb-4a7b-9f70-ff258a5ee90f,"Staying at home, wearing Islamic hijab, lowering one's voice ",,,,,,,,,,,,1,1,,
07dcec16-ab89-4aa3-82cb-c201fe61ff2a,Hijab is a duty ,,,,,,,,,,,,1,1,,
0855995f-6b02-4d70-8f8c-72dda77df6a3,Medicine; Public Awareness for Women; Serving the Women's Community ,,1,,,,,,,,1,,,,,
0894da1f-de5f-412a-b010-5823c7f69880,School ,,1,1,,,,,,,,,,,,
08c2123e-ca40-4afb-b555-b488e01d1bcb,Freedom of the country Freedom of rights More freedom of democracy ,,1,,1,,,,,,,,,,,
0d415213-14ef-4d87-bc62-e497c1be6874,1 The rights of women are determined by the Holy Qur'an. 2 Every right given to her by God should be given to women,,,,,,,,,,,1,1,,,
0e28b811-ac7e-427c-bf5e-3372ed9245b7,"Progress of the country Provide justice, progress of workload ",,1,,,,,1,,,1,,,,,
0eee761d-f727-4256-8d4a-18d7bd632896,Security Food Workplace ,,1,,,1,1,1,,,,,,,,
0f879140-0b20-47e7-bc9d-260428497e8a,"First, the rights of women in Islam are greater in Islam than in non-Islamic countries. ",,,,,,,,,,,1,1,,,
10e44bdb-da4d-49a1-b280-1ce25ab5ee2a,"Human rights disrupted most lives, leading to divorce of many families and leading women to wear the hijab. ",,,,,,,,,,,,1,1,1,
13b00352-610b-4446-85e1-8960b8e15c3e,Islamic law and mutual respect ,,1,,,,,,,,1,,1,,,
15d3dd8b-e254-40ee-b5df-58cb62066a26,Hijab of honor ,,1,,,,,,1,,,,1,1,,
16833fe1-7f7f-46ab-b973-0fbb46ea3b07,Which Islam has given ,,,,,,,,,,,,1,,,
176c280b-a69a-4ce3-a8f3-cfa56342da2e,Women must be free ,,,,,,,,,,,1,,,,
17992d54-1a0d-4160-be3e-92259cdf204c,Hijab ,,,,,,,,,,,,1,1,,
18bd7119-ab8c-49b7-b68a-5509d26d3aa3,"Education, freedom, work ",,1,1,1,,,1,,,,,,,,
190115a7-eedc-4f40-87c6-1fd9950292ac,The first school has the second freedom. Women have the third ,,1,1,1,,,,,,,1,,,,
1a5a45f2-a9c4-4be5-8b9c-0a6ad5482d35,School of Social Work Freedom of Expression ,,1,1,1,,,,,,,,,,,
1acaf9f1-78eb-4db0-9e61-84b94bd54162,Education Freedom Equal rights because women are also human beings have the right to live a free life in the world ,1,1,1,1,,,,,,,1,,,,
1ba81aa9-0a62-4042-830f-baf9c9812780,۲ Worship in your own home ۲ Worship نه Caring for your children because the principle is the rights that God has given to the slave.,,1,,,,,,1,,,,1,1,,
1c83b99c-0d91-4a94-a535-d6657488c6f8,"When a woman comes to power, she has no intellect and this is a sign of the resurrection ",,,,,,,,,,,,,1,,
1d8848f9-7cfc-478a-b9fd-5be8d7b3b23a,Women have rights but Islam is equal to rights ,,,,,,,,,,,1,1,,,
1eb9e51b-1a30-4fa6-a8f5-6a0cf57b0cdc,Life is happier ,,,,,,,,,,,,,,,1
1f20bdd8-ee4b-467e-ae5d-22962f4d721c,The community is on its way ,,,,,,,,,,,,,,,1
21a2b1d9-9893-4746-ae41-7fbe47c3aea8,The rights given by the Qur'an ,,,,,,,,,,,,1,,,
21b746db-50bc-46dc-be0d-475eb288089f,Study. the freedom. Job ,,1,1,1,,,1,,,,,,,,
231b55c9-1846-41ba-8100-8966cf7037c3,Women should be allowed to go to school and not be trampled on ,,1,1,,,,,,,,1,,,,
252b7143-7b32-4f61-8218-2c3306693265,The ignorance of the people ,,1,1,,,,,,,,,,,,
2613f8a3-901c-4102-b0a8-e5e849cfa126,"1- What rights have been given to women by the holy religion of Islam which includes all aspects of life such as life, education and training, freedom within the framework of Islam.",,,,,,,,,,,1,1,,,
27f6c9a6-3cd0-43fd-a1cb-6cb5422674ed,Let the girls go to school ,,,,,,,,,,,1,,,,
29861d03-20f7-4baa-a305-437b3f5d2cd4,"One woman is like the devil, the other is like sedition. ",,,,,,,,,,,,,1,,1
2b001f1e-402a-4a7e-a4f7-839de1672bb5,What matters to us is what Islam has given us ,,,,,,,,,,,,1,,,
2b22a5c7-5b89-43db-967e-2451172eb4bc,Free the school ,,1,1,,,,,,,,,,,,
2b871554-32f3-48a5-8605-3fd78b30d46c,1_Education 2_Participation in political affairs 3_Gender freedom,,1,1,1,,,,,,1,1,,,,
2bb90604-d7bb-4745-b402-f1c15c667eda,School course ,,1,1,,,,,,,,,,,,
2c710f26-d15f-4ec6-85c8-c55567b84777,"He should be treated as a human being and not be deprived of the rights that God has given him. They should be allowed to study, they should be given jobs and they should live a happy life like other women. ",,1,1,1,,,,,,1,1,,,,
2d08698f-6fc9-4bee-89fd-89a0303ecf3e,1 Hijab 2 Islamic and modern education within the framework of Islam 3 Duties also within the framework of Islam,,1,1,,,,,1,,,,1,1,,
2d8831b7-5d62-4191-b656-87c288a69e00,Education ,,1,1,,,,,,,,,,,,
2d8efb76-aa22-4a08-ba3a-01ca1a53cf13,1) Access to education is their right) 2) Freedom for women) 3) Women's right to a government seat,,1,1,,,,,,,1,1,,,,
2ef91217-7889-4e38-9bfe-ada63705ff52,Because poverty answers all this ,,1,,,,,1,,,,,,,,
2f3c97e7-349e-49f4-be25-693e9c93d51c,Security Economics Education ,,1,1,,,1,1,,,,,,,,
2f58f5b1-7737-4253-9b50-7e1a1c85f9b3,stubbornness ,,,,,,,,,,,,,,,1
2f6ab551-f55e-4c79-a5b2-fb52ca96f7af,Schools Security and Peace ,,1,1,,,1,,,,,,,,,
2fb8134d-9122-43d9-9a0d-b73bd6edb8fc,Education is a veil of honor and dignity ,,1,1,,,,,,,,,,,,
2fcc5f9e-81e2-4e8f-9954-0425e7b0bf9c,They do not have human rights for women because the Qur'an says that women should not be given such rights ,,,,,,,,,,,,1,1,,
3011ccc7-16d9-4582-b006-f2e843117f05,1 work 2 education 3 peace,,1,1,,,1,1,,,,,,,,
30308c95-280f-44a8-bdf1-a446e559fc70,"Adultery has many rights, but the Taliban deprive them of their rights. A woman has the right to do whatever she wants. ",,,,,,,,,,,1,,,,
3063d0a9-46a1-4bcd-bfb6-ac423044d7a8,Work is required in the places where women exist and work is provided for women entrepreneurs. A woman can achieve her needs by observing the Islamic hijab. ,,1,,,,,1,,,,,1,1,,
310f7f3c-87e1-4397-b077-87375fa63f20,"Permission to work, permission to make decisions about themselves, and permission to study ",,1,1,1,,,1,,,,,,,,
3243cf22-370d-4284-843d-8d0506322278,Education Prevention of Husband Violence Against Women Reducing Maternal Mortality ,,1,1,,,,,,,1,1,,,,
32dc38b1-b9f8-426a-b75c-69fdb60b7464,The first is that he will go to school in the guise of Sharia. The second is that he will go there. ,,1,1,,,,,,,1,,1,,,
338eaa63-e5a8-4e98-a1e0-c3e252cd6115,Taliban. ISIS. Resistance Front ,,1,,,,1,,,,,,,,,1
3570fce6-efaf-4b84-9782-cd4aa1a6af14,Teaching hijab ,,1,,,,,,1,,,,1,1,,
35b74089-0738-4c30-8239-b253bd8dc1a4,"Oppression is rampant in every corner of the globe, especially with the Muslims. It is a well-known religious war. ",,,,,,,,,,,,1,,,
35f3f263-84db-4e2d-8ac3-7268ca2e9f14,Study Study Study ,,1,1,,,,,,,,,,,,
35fd24e4-8d62-4e60-b47a-a5b1dd3648a8,"None of the women's rights have been given to them, thank God ",,,,,,,,,,,,,1,,
3631f204-a9ab-41d2-b11d-2f67624e64b7,School and madrassa etc. ,,1,1,,,,,1,,,,,,,
39ce88bd-2dae-4871-b67c-08203a2d001c,What has American human rights achieved in twenty years? ,,,,,,,,,,,,,,1,
39e901fa-57db-4ffa-bf38-ce04c881390c,"The right to education, the right to work and not to be enslaved ",,1,1,1,,,1,,,,,,,,
39f94999-d30d-4a4f-a411-ce905c1efaf5,"Women's rights within the framework of Islam, not human rights, universal security, independence throughout the country ",,1,,1,,1,,,,,,1,,1,
3a83e9b7-1cd1-4ec1-8218-31b04176aff5,Human rights in Afghanistan ,1,,,,,,,,,,,,,,
3b1495f3-3584-423a-b00a-c59f53e724ff,"Human rights do nothing for human rights at all Millions of people are tortured and persecuted every year, but where is human rights? For example, in Syria, Afghanistan, China and other countries, women have a special place in Islam. Today you are in Western countries. You see, women are stripped of their commercial goods, used in serials, movies and advertisements. Today, women's rights are not respected in any country, and the Taliban do not understand anything about Islam. Is it a puppet of the United States? ",,,,,,,,,,,,1,,1,
3b6ade9a-2f10-4844-89ba-1f76f7ece4ed,School Hospital Clinic ,,1,1,,1,,,,,1,,,,,
3b83052f-0614-4240-acbf-8caa48770ace,Education Economics and Freedom ,,1,1,1,,,1,,,,,,,,
3cc55912-1c5c-411d-b4bb-1dba13c1ccb0,Women's priority has nothing to do with human rights The rights that the religion of Islam (the law of the Prophet's blessings be upon him) has given to women have not been enough. ,,,,,,,,,,,1,1,,,
3d6b7f24-a760-4c9d-ba12-a2616300d290,It is formed for the sake of half of society ,,,,,,,,,,,,,,,1
3dbd3c56-279e-40a9-b585-93a1ac982010,Women should stay at home because their dignity will be protected. Women should stay at home because it is a religious command. Women should stay at home. ,,,,,,,,,,,,1,1,,
3e01840d-bf1a-4f06-88fa-eee44a1e37a5,"Appointment of professional staff and promotion to technicians and internal production. Women are the essence of society and home. If not at home, we lose family control. ",,1,,,,,1,,,,,,1,,
3e0ffb2a-e15a-45fb-993d-e44cd96ba225,Islam has given women sharia rights but not human rights ,,,,,,,,,,,,1,1,1,
40ae950f-95a4-468e-b70c-447851956c7b,Human rights abused Everyone takes their own interests into account. ,,,,,,,,,,,,,,,1
42f9cd7f-1139-4102-9494-13bbe23c47bb,hysteria ,,,,,,,,,,,,,,,1
4433cc02-a92a-4221-9b2e-c0b012d3a8d2,First: The Qur'an is our best guide and every human being is given full rights in the Qur'an Second: Islamic Hijab Third: Respect for one's own traditions and culture ,,1,,,,,,1,,,,1,1,,
44eb408a-f624-4ea7-89a3-7ccfd7f12c59,Lesson 1 Second Quiet Environment 3 Complete Textbooks,,1,1,,,,,,,,,,,,
45b7b8ce-efae-4e0e-9207-c4cb84d24b99,1. Hijab 2. Chastity of women 3. Teaching Islamic teachings for women,,1,,,,,,1,,,,1,1,,
471bb30b-835c-411c-9cc7-cd92cfa46926,Hijab Islam Education ,,1,1,,,,,1,,,,1,,,
47813205-d791-4034-9b34-4c384bb538b8,Women have the right to be free Women have the right to education Women have the right to perform executive duties ,,1,1,,,,,,,,1,,,,
48bab262-82c7-47f4-b863-77766e525471,Permission to work Islamic hijab education ,,1,1,,,,1,,,,,1,1,,
48d0e750-38b0-43d6-a93f-7b571e2e79fd,"Give the text, give those rights as soon as possible, God bless ",,,,,,,,,,,1,,,,
49654a06-f590-428e-b3ee-ed773a38f051,"Arbitrary marriage, inheritance rights, Islamic education ",,1,1,,,,,,,1,1,1,,,
4b01862d-e55c-4d0e-bb70-d10d4a34ade6,"In Afghanistan, men's rights are not respected, let alone for women. This is completely stupid of you. In the near future, God willing, Islam will take power. We do not want the Taliban or any other group, we only work for divine justice. ",1,,,,,,,,,,,1,,,
4b9e838d-5f5b-4f9b-906d-8e6d25f94bd0,The first is the hijab. The second is the lack of democracy. The third is the protection of the home ,,1,,1,,1,,1,,,,1,1,,
4c88019f-5f88-479f-977b-fb3fe67917c5,School of work ,,1,1,,,,1,,,,,,,,
4cc5f4be-4974-4515-b141-8698dc5f8329,"First, the girls' school should be liberated, second, women should play a role in politics, and third, women should live in any way they want ",,1,1,1,,,,,,1,1,,,,
4d8248ab-b36a-42ba-8617-a5558fcaaee3,Because the girls dropped out of school ,,,,,,,,,,,,,,,1
4dbb82ce-b43d-4977-b806-8ba938fa2362,Education is paramount and Afghan and Muslim women do not need human rights ,,1,1,,,,,,,,,1,1,,
4eb112de-8e1b-463d-b641-1ce5c6e2321c,2. Invoking Hijab,,1,,,,,,1,,,,1,1,,
509e7b89-438c-4c27-87cc-9dc62fcd8b95,Zakat cannot be brought ,,,,,,,,,,,,1,,,1
519f2c2c-984e-4408-ae48-eb5c281b2f5d,"Women should be free, as they always are, and their law should be equal ",,,,,,,,,,,1,,,,
5333dc9b-98fe-4318-bf6c-ee99373487eb,Women sit at home and sweep the whole world becomes Golestan ,,,,,,,,,,,,,1,,
5363a920-e759-4ab5-a2c2-c81175cd0b6a,The Qur'an and the hadiths of the Prophet (peace be upon him) ,,1,,,,,,1,,,,1,,,
53d7f550-baec-4419-8bf9-196b3d8f3ffc,Education Duty Freedom ,,1,1,1,,,,,,,,,,,
53feb177-58f2-47e2-bf2d-ece9c80189d0,Women have the right to a free life like men because a society needs a doctor to police a woman to Professor Ren ,,,,,,,,,,,1,,,,
55297c6f-dbbf-42a2-9f07-696f34e2ab9f,Allowing girls' education to focus on the life and work of ordinary people ,,,,,,,,,,,,,1,,
565323bb-53a9-40e0-9c90-4dbd7bb61d23,I believe that the right to education is one of the most important things that Afghan women need today. ,,1,1,,,,,,,,1,,,,
573f0664-c5bf-4af3-a3e3-46171af82fb0,"In an Islamic country, the only necessity for women is to teach the female class. From the point of view of Islam, they have no right to engage in political affairs because women are not so capable. ",,,,,,,,,,,,1,1,,
582776d3-915e-47eb-a583-c2ba8994e44e,"Dear Islam, there are many legal rights for women, but Westerners have violated their rights, as in Islam, my wife has a rightful husband, but those who shout for human rights, there are several sexual partners in every woman in the West. ",,,,,,,,,,,,1,1,1,
59f61d3c-daef-4dc9-9497-91d4b415c142,"Education, job and work ",,1,1,,,,1,,,,,,,,
5aae9adc-bfb1-4d5b-b6aa-6bd2e4806b26,School Course University ,,1,1,,,,,,,,,,,,
5baa6db4-08e5-416a-8539-d855ac8cf3fb,Women's Rights Democracy Freedom ,,1,,1,,,,,,,1,,,,
5c065834-9477-4837-aba9-653eb866d1b7,From the peace of innocence ,,,,,,,,,,,,,,,1
5d2a3712-75aa-4a79-85d0-3129f9a8e9b6,First Education Second Health Third Voluntary Husband's Right to Parental Consent ,,1,1,,1,,,,,1,,,,,
5da56563-b081-4082-9747-0c61df1ad92b,"Education, work and individual freedoms ",,1,1,1,,,1,,,,,,,,
5e8caf96-c4e3-4efe-8004-d6bffbd4f1ab,"We are a Muslim nation, we have an Islamic culture of our own, and we are happy for women to live in Islamic culture. Our country should implement Islamic law and Islamic culture ",,,,,,,,,,,,1,,,
