UUID,10b_OpenEnds,10b_A,10b_B,10b_B1,10b_B2,10b_B3,10b_C,10b_D,10b_E,10b_F,10b_G,10b_H,10b_I,10b_J,10b_K,10b_L
1834dd8b-fc3b-4f3e-82bf-b1695dd19340,Because I'm afraid that my family 's life will be in danger ,,1,,1,,,,,,,,,1,,
bec081aa-aad2-4524-b5b0-4bf7950619bc,"Because salaries are not equal, 70 percent of men and 30 percent of women should be eligible",,,,,,,,,,,,,,,1
445a1d78-0a18-4d5a-91c0-69e6924dca6e,"Because when women are liberated, it becomes very strange that Islam does not say that there should be some women, some that Islam says and no extremism, and excess is what the Shari'a says. ",,,,,,1,1,,,,,1,,,
d4eeabdb-2f36-4cba-9c5c-d6cd53a93f39,"Because women's rights are not a priority in the current context, the lives and property of Afghans are at stake. First, measures must be taken to protect their lives. ",,1,1,1,,,,,,,,,,,
46cbfe5e-7bb1-4c08-aa25-1a2b96fe9ea2,"For the sake of human rights, it has never been realized in this country. ",,,,,,,,,,1,1,,,,
13fe7f63-ea1b-4d1e-9cdb-c14f0ad6d588,"Given that the Islamic Emirate of Afghanistan is a nascent and newly formed government, it is possible that a clear and real heart among women's rights may be violated. ",,,,,,,,,,1,,,,,1
e9299c8d-53a2-47d2-af0a-fd36d185255d,I do not know women are useful to the government structure ,,,,,,,1,,,,,,,,
0e64e802-459e-4a8e-96e9-cca61f76463d,It's all a show war ,,,,,,,,1,,,,,,,1
c4cb6aaa-46b4-4995-bb65-5ca1ce020a67,"The issue is not women's rights, but the border of the United States and other powers ",,1,,,1,,,1,,,,,,,
1f92a013-990e-4496-8365-557d0703e490,"The proverb asked a person what his name was. She told him that God ... and he didn't show it to Dad, so the Taliban didn't show it to Dad. In the early days, they started beating him. . Another important point is that the West and the Taliban have started a political war under the pretext of war ",,,,,,,,1,,,,1,,,1
cd2527b9-9c8f-4ab6-bbdb-8c0db04e2262,"There is no definition of human rights, which group is human rights? ",,,,,,,,,,,,,,,1
b0868316-5319-42c6-b468-15d3149b74a4,Why Afghanistan is a country that has been fighting political and economic wars for more than 3 decades ... Test,,,,,,,,,,,,,,,1
013d2caa-79c7-4113-9e3c-508c3b4cffee,Don't want ,,,,,,,,,,,,,,,1
81f7a483-0fc6-4a58-9da7-55da89004113,I'm afraid to comment ,,,,,,,,,,,,,,,
b7cd7e06-5019-4106-a2d1-900c7b9acf70,"According to the previous and current governments, none of the international community has kept its promises to the people ",,,,,,,,,,1,,,,,
043b9786-5c98-421f-9c59-accee8da6cbf,Afghanistan has deteriorated so much that Taliban militants are oppressors. ,,,,,,,,,,1,,,,,
a6c26bca-5e53-4605-94f0-1b252da79294,Afghanistan's economy is at a standstill. There are atrocities. There are no jobs. People are starving. Children and young people are missing. ,,1,1,1,,,,,,,,,,,
46afb36f-be67-44b0-a332-e0086a14ade8,"All that matters to us is the rights of women and all of humanity that Islam has given, not the infidel world ",,,,,,,,,,,,1,,,
1ccadd8c-97df-435e-b230-b104d26158ae,"am an 18-year-old person because I do not understand political issues, it is better not to comment",,,,,,,,,,,,,,1,
72577745-2be9-4877-b11d-19a7a588c51c,"am the bloodthirsty state of Afghanistan. No country has helped the Afghans, and the government is in the hands of the Taliban. The poor government of the poor people. ",,,,,,,,,,1,,,,,
81337c05-9f62-446a-8d76-43c69f1b0769,"As long as Pashtuns are in power, violence will continue. The government will be based. It will be separated from religion ",,,,,,,,,,1,,,,,
c6200d78-6b0a-4492-8006-65d2415d8097,"Because a missing woman or girl can work in a limited number of places, not in government ",,,,,,1,,,,,,,,,
41e89e7d-cf39-469f-9985-79bb9048325d,"Because Afghans are doing too much for what is not in the interest of Islam, Afghan society and the United Nations, it is better to be without theory. ",,,,,,,,1,,,,1,,,
92ab663f-fd85-48a0-a4ba-92321ff92487,Because Afghans have always been deceived into the issue of human rights Human rights have always been violated in all parts of the country where we live. ,,,,,,,,1,,,1,,,,
c8fa131a-3cbb-4f28-b37f-84d1a1fc3574,Because all countries are moving away from Afghanistan and do not want to help Afghanistan ,,,,,,,,,,1,,,,,
363a35fc-8819-4595-bca8-89782f98e16d,Because all the rights of citizens are violated ,1,,,,,,,,,,,,,,
3f488776-6d62-4932-a0ba-5c6c545bb263,"Because although not all schools are open, some are open in the province and the rights of women can not be justified ",,,,,,1,,,,,,,,,
1a956018-3c65-41c5-a8c4-416dabe3590d,"Because corruption and the US presence in Afghanistan have hurt the Afghan women's community, and it takes more time for women to learn Islamic education better. ",,,,,,,,1,,,,,,,
6090c38f-3718-4714-8c0e-76c521eea8f3,"Because during the previous government, the republic, women's rights were not guaranteed ",,,,,,,,,,,1,,,,
2d01a07f-0452-4958-9b7d-92b67ec9d3db,"Because every country came to Afghanistan thinking about its own interests, not Afghanistan. Afghanistan is one of the countries with the most untapped mines, and every country has to know how to use Afghanistan's resources. Shows the desire to use Afghanistan in different ways and strengthen your base in Afghanistan. Thanks to Omidullah Safi. ",,,,,,,,1,,,,,,,
745c1752-43a5-4f61-9aef-afa23619ce66,"Because every factor reduces the progress of the country towards progress. In particular, prevent women from studying, which is a hypothetical right from God. Every woman in various sectors can cooperate with her government for the development of the country. The only priority of a country is not security and work, but also knowledge. ",,,,,,,1,,,,,1,,,1
544fd29f-0cc4-4941-ac07-98df2aba5d1a,"Because for several years, human rights for women have not been active ",,,,,,,,,,1,1,,,,
440a31c8-628a-4ce1-8b3b-5f66b794f5c1,Because he has his own Sharia law that Islam has given Sharia full support and will be given ,,,,,,,,,,,,1,,,
