UUID,10c_OpenEnds,10c_A,10c_A0,10c_A1,10c_A2,10c_A3,10c_A4,10c_A5,10c_A6,10c_A7,10c_A8,10c_A9,10c_B,10c_C,10c_D,10c_E,10c_F,10c_G
0015b529-d0be-4ac0-b399-8bc804024e6c,Very useful ,,,,,,,,,,,,,,,,,1
00351bef-37b7-4595-8f23-ef98beca95bf,It will not be good ,,,,,,,,,,,,,,,,,1
00407054-4d9d-49c7-aa82-a14a303544ce,"In the circle of Islam, I do not want extremism or extravagance ",,,,,,,,,,,,,,,,1,
004d36a5-9f0b-404a-944b-1a0e3e9b8213,I do not know ,,,,,,,,,,,,,,,,,1
0060b307-a632-4dff-b654-8c626d7fe0b0,very good ,,,,,,,,,,,,,,,,,1
00cf1e0c-b4d3-4fd3-b4b1-aa08d915b58a,"In my opinion, the right to education, the right to work and other human rights should be given to women, there should be no use of tools, and there should be no gender bias in society. Today we are in a bad situation. From the point of view of the right to life, sometimes we even think we are not human. The international community is content with just a few words of condemnation. Leave the innocent Afghanistan in the hands of terrorists ??? ",1,1,1,,,,1,,,,1,,,1,1,,1
00e13c5c-2ec0-46da-99a6-de5179ae8b43,Something amazing ,,,,,,,,,,,,,,,,,1
00e9ecf6-13a5-4bf5-b522-791a2020ac34,It is very useful ,,,,,,,,,,,,,,,,,1
00ea5dea-7013-41f9-aaae-e3536998177a,After the international community puts pressure. ,,,,,,,,,,,,,,,1,,
01191250-6b0d-4f9e-823e-6f28ffc992a4,Women should be given their rights according to the law ,,,,,,,,,,,,,,,,,1
011e7308-f2a8-49f3-8515-20e664be7ba8,"To achieve human rights for women, UN intervention and sanctions against the Taliban to respect for women's rights ",,,,,,,,,,,,,,1,1,,
014131cc-dc9b-464b-b9af-801c47cc0a93,It is a very good thing within the framework of our religion and culture. ,,,,,,,,,,,,,,,,1,1
01479e68-68f3-4ce9-8570-edc8dc1e943e,More rights for women means living in peace and tranquility. ,,,,,,,,,,,,1,,,,,1
0151f6a9-5cc2-4066-933a-d50f5b4dc546,Women's rights should not be violated. ,,,,,,,,,,,,,,,,,1
0154fdfb-b410-4e54-9650-7056e9b4552f,According to Islamic law .... maybe? ,,,,,,,,,,,,,,,,,
015b87de-2a13-4ad0-be90-bdaea215b66b,Very good and useful ,,,,,,,,,,,,,,,,,1
017754a8-6c25-46d8-8944-0ebb895dcfaa,With the support of other countries ,,,,,,,,,,,,,,,1,,
0199082d-4a6f-4a2b-b93f-a3fe43676389,Very efficient ,,,,,,,,,,,,,,,,,1
01a73bfe-30e8-4419-8d03-0bb7e49a4f78,Very good ,,,,,,,,,,,,,,,,,1
01c7a86b-b99f-46b2-b52e-b3e70874661e,Agreement between Taliban and resistance groups ,,,,,,,,,,,,,,,,,1
01cc2265-0bed-4d6e-95ea-9698159e5e4a,Protecting the rights of children and women and civil society ,,,,,,,,,,,,,,,,,1
01d99068-10f9-4367-a61a-810e973eb2db,"If it is achieved, Afghanistan will be able to make double progress, one through women and the other through men ",1,,,,,,1,,,,,1,1,,,,
01e7c533-add1-4fc2-9007-d4106d799e04,Everything in the Holy Quran is true ,,,,,,,,,,,,,,,,1,
0207b606-dbe5-499f-aa99-4b9d8ebc667e,Only with the rule of democracy ,,,,,,,,,,,,,,,,,1
020f534f-b074-4234-917a-847a08fbfae1,"In short, the destruction of the Taliban, and religious extremist groups that have robbed our people of the dream of a peaceful life for years, will always be so until secularism is realistically practiced here. ",,,,,,,,,,,,,,1,,,
026abb0e-dafe-4299-88c6-01e0b2ab2051,Women are half of the body of a society. Their rights should be equal to those of men ,1,,,,,,1,,,,,,,,,,
026bd67d-550b-4732-9872-8afc51cf209f,Healthy society ,,,,,,,,,,,,1,,,,,
02b96819-6899-40dc-a617-3def62a422eb,"The right to education and the acquisition of knowledge, the right to work, the right to life, the non-discrimination of gender, the prohibition of violence and .... ",1,1,1,,,,1,,,,1,,,,,,
03266361-898a-4437-afff-e972d10bacae,Through the supervision of the United Nations ,,,,,,,,,,,,,,,1,,
03280737-df91-4e00-836f-4947f0d6610b,"The international community must put pressure on the Taliban to give up and form an inclusive government through the will of the people of Afghanistan. And this must be done as soon as possible, otherwise it will be too late and it can no longer be compensated. ",,,,,,,,,,,,,,1,1,,1
03456d43-7bfc-4bac-94aa-f2ab16facfd3,According to Islam ,,,,,,,,,,,,,,,,1,
034d9920-3d8f-4cc4-9752-9841a9af8e11,"In my opinion, it is better to give everyone their rights and have their own choice ",1,,,,,,,,,,1,,,,,,1
03859c5e-40be-43a3-8cd8-e9360f5ca147,"Women should be given their rights which our countrymen demand, the rights that the Taliban show are not Afghan and Islamic rights and they have been imposed on our countrymen by the foreign intelligence which is being enforced by the Taliban. . ",,,,,,,,,,,,,,1,,1,
038be048-31e2-4c27-b867-8466596988d5,With no hope. The human rights situation as a whole is very bad here. ,,,,,,,,,,,,,,1,,,1
039baec0-759c-4681-ab8a-88bbab2e09f7,It will be very good ,,,,,,,,,,,,,,,,,1
03d09351-f605-4e53-80aa-368ea1996ed4,Freedom must be heard ,,,,,,,,,,,,,,,,,1
