UUID,11a_OpenEnds,11a_A,11a_B,11a_C,11a_D,11a_E,11a_F,11a_G,11a_H,11a_I,11a_J,11a_K,11a_L,11a_M,11a_N,11a_O,11a_P,11a_Q,11a_R,11a_S,11a_T,11a_U,11a_V,11a_W,11a_X,11a_Y,11a_Z,11a_AA,11a_AB,11a_AC
014131cc-dc9b-464b-b9af-801c47cc0a93,"Women's freedom for education, selection of breadwinners in consultation with family, access to health services. ",,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
01479e68-68f3-4ce9-8570-edc8dc1e943e,The right to earn and to have access to one's rights in the society ,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
0151f6a9-5cc2-4066-933a-d50f5b4dc546,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
01d99068-10f9-4367-a61a-810e973eb2db,"woman should work hard, study, and do business. How can I do a clean job for my country? ",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
02bd33c8-9934-462f-b1cb-1e3dcc2cd489,Respect for being human ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
036673aa-9620-40c0-85c5-c4ac2adb5c7a,The right to education according to Islamic laws and other rights is guaranteed by Islam ,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
0427881c-fac2-4c95-8a8d-206281bb8ed3,"Women's education rights should be prioritized right now, women's rights to work, rights not to discriminate against women and men ",,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,
05951892-1ed1-4407-a48c-e05865204bc1,Harassment by the family ,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
05e37233-a805-493c-8f38-3c25594ecce3,"Business education, freedom of thought and expression ",,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
06a0fe2e-c92c-47d0-858a-8946b4bcfe5f,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0a3664ff-36a5-4e16-9400-1c2c0312db42,Social freedom and freedom to get an education ,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
0aa98795-4b78-431d-8225-8a629c78158e,The right to go to school ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0b60366c-1f08-424c-8381-6b2aeacb9bc1,Freedom of education is important for the community ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0bbe295c-7023-40b2-b790-66c51047bae2,I should be given the right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0c96c0ae-1921-42c8-81e5-1ab6aa925905,"Education, choice of clothing, right to work and all the rights that all human beings should enjoy from a human and social point of view ",1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
0cde9e22-a083-430f-97d6-76a5d7ad2844,The options I chose earlier ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ce4d553-ab3c-487a-af10-5d899b1ff5ac,"A woman should never be oppressed, she should be religiously and modernly provided with worldly facilities as best she can ",,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
0da4298f-c6e7-4fd0-967c-fe868174cfe6,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0e0a5bf3-3ede-4bac-9ed8-e7a7b9896f70,study course ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0f2c0597-67dc-4cf0-87e8-76fe15fe8aff,They are all important to me ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10b43369-9b83-4a92-a55d-18f70f468cec,Freedom to go to school ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
13c8206f-c8a1-453b-b23e-eb0b78acdcf2,Education and marriage at will ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1493bb3f-538a-43a4-b749-de93bd84c5d1,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
164c808d-ecc2-465e-b8bd-f39a32e170d8,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
17992d54-1a0d-4160-be3e-92259cdf204c,hijab ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
180b5c36-a1e9-4544-8e01-1657cdc6e14a,"Freedom of expression, participation in government and the right to access education, choosing a spouse and everything that a man considers his right ",,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,
1834dd8b-fc3b-4f3e-82bf-b1695dd19340,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
189d410d-9135-46ef-a0fa-5981a579f1dc,"The right to inherit, the decision to raise a child and pay, the right not to work under oppression and coercion and many more. ",,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,
18d2adb6-5b07-4f5a-ac64-87f300ed3d35,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
190d801f-81a1-4f48-89db-80f449e9ef73,education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
193ea3ba-d151-47a3-ab4a-ea63768b49bd,Right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1a3dd963-a860-479d-9341-a65d287f6842,Equality in all matters of life ,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1b51b6c9-a65b-4f20-a761-52ebfe55aa22,"Study, work ",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
1ba81aa9-0a62-4042-830f-baf9c9812780,Few things have given Sharia ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1c336cdf-f23a-4cb4-8c99-22b93d43ea7b,"The right to political, economic, social and cultural participation in society, the right to education, the right to work, the right to access services, the right to make decisions about the body, and the right to marry and divorce. ",,,1,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,
1d8848f9-7cfc-478a-b9fd-5be8d7b3b23a,The people are given the right they have within the framework of Islam ,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1fee3121-7c6f-4789-9a43-e8fcd7c79c83,"The right to education, the right to choose a husband, the right to choose a job and earn an income, and the right to access health services and other services. ",,1,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,
2019a06e-9fc7-48d2-8ae5-f9897c39914c,The right to choose a job ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
20fe102f-ae16-4a6c-8a60-6fe54ba4a812,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2107c320-b464-4e6e-ad04-0192e3bbfc62,"Islamic hijab, the right to study, the right to work, the right to marry a suitable spouse ",,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,
21209a0b-f31c-424b-8c63-2a1e1a564669,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
22c330a1-9cc7-4e3f-804a-9c87c756f1a9,Preservation and human values are necessary for them to stand in line with men and women in all matters of the world ,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
24a79250-6360-4bad-87f3-5e93a39a5657,"Women's freedom should be certain within the framework of Islam. Second, the right to read because learning science is obligatory. ",,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
268a18b5-80e3-47c6-a3bb-f12716723514,right to education ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2760260a-ba44-42b4-9203-45c4da9c0ac2,"As we said, the right to education should be considered in the priority of work and salary ",,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
