UUID,17_OpenEnd,17_A,17_A1,17_A2,17_A3,17_A4,17_A5,17_A6,17_A7,17_A8,17_A9,17_B,17_C,17_D
42db1f8f-8c7a-4f61-9fa2-d344201b42f8,"First of all, the frozen money of Afghanistan does not belong to the Taliban, which the United States takes. This money belongs to the people, and the Taliban should not be recognized, and Taliban diplomats should not be accepted by any country. To be fired. ",1,,1,,,,,1,,,,,
e19bac7b-ff86-445a-a72c-da05df249918,To build a stable and inclusive government and democracy for Afghans ,1,,,,1,,,,,,,,
3aa86e42-ecb7-4fef-9495-02564f1345df,Increase support for the elite and take seriously the Taliban's breach of promise ,1,,,,,,,,,,,,
599bd7bf-e007-4056-adb0-8bad404a6efe,I think you should start the process of expelling Afghans again ,1,1,,,,,,,,,,,
4be9914c-50ae-4228-a069-5633b4d574f2,Food support and asylum in European countries ,1,1,1,,,,,,,,,,
a12dbb5c-9018-4bc6-9eb1-430c1c7c2198,Food support and asylum in European countries ,1,1,1,,,,,,,,,,
a56993e4-9d87-428a-b4d8-70bd408d70e3,Food support and asylum in European countries ,1,1,1,,,,,,,,,,
6ee13995-0132-47fe-9cc2-cef1eeac1df7,Food grants Security Asylum application ,1,1,1,1,,,,,,,,,
f6cd56ed-6aca-479c-a1d2-a350c603af51,"Provide economic support, job placement and wage pay. Ensuring the security of people's property ",1,1,1,1,,,,,,,,,
8ea75f5c-a8db-4840-9627-0394f0527290,"1. Continue and increase international assistance through non-governmental organizations until a comprehensive government is established and recognized in Afghanistan. 2. Encourage the Taliban and opposition groups to resolve ethnic differences and prejudices and reach an acceptable agreement with the national and international community. 3. Creating more academic background outside Afghanistan for Afghan students. 4. Helping Afghans in such a way that broken systems such as: private banks, industrial companies, factories, in short, system building do not break down any more. 5. Assisting Afghan refugees seeking asylum in various countries such as Iran, Pakistan, Tajikistan, etc.",1,1,1,1,1,1,,1,,,,,
5bdf1976-1f24-42ab-8ab0-2dc7dc0701e8,"Helping Afghan refugees to evacuate endangered families to get rid of an oppressive Taliban, especially the military of the previous government, as well as not recognizing the Taliban and showing the National Resistance Front, helps our people and is useful. It's over ",1,1,,,,,,,,1,,,
59dcfa08-905d-4b16-834e-7b1e1faec9cc,"For people like me who have been an intelligence officer in the previous government, the only solution is resettlement and asylum in the United States or Europe. What I have learned is the situation in Afghanistan. ",1,1,,,,,,,,,,1,
020f534f-b074-4234-917a-847a08fbfae1,"Since the Taliban came to power in Afghanistan, I have personally faced all kinds of mental and physical security threats, the Taliban have deprived the people of all kinds of freedoms with their arrival, especially when I was working with the Americans on infrastructure projects, and Now that I'm not threatened with my family by the United States, this is my personal theory. For me and people like me, the best way out is Afghanistan. ",1,1,,,,,,,,,,1,
046bfa61-640a-47af-94d8-776345b1bc26,"Individual financial support, not the Taliban government ",1,,1,,,,,,,,,,
0e67dd80-a4c2-466c-bd77-4f323de60846,Financial aid because our homes were destroyed in the war to make ourselves home ,1,,1,,,,,,,,,,
14ec0ea3-93d6-427e-825e-debb6878e9cd,"Establishment of relief projects, infrastructure by the World Bank and implementation of these projects; Through neutral institutions, to facilitate the former employees of these projects, such as the Citizenship Pact program, rural economic development ..... ",1,,1,,,,,,,,,,
35af2fef-7d6c-4d9b-9982-63f6ac9e982a,Freeing up frozen money. ,1,,1,,,,,,,,,,
40450d6f-ced1-4be2-b1d6-193b18a27368,Financial aid must be provided or all people will die of starvation ,1,,1,,,,,,,,,,
4e774ba2-fd3c-42bb-b3aa-5a04c8ceb914,Economic and health support ,1,,1,,,,,,,,,,
504b4c82-74f6-4e53-9a73-70e04bb0ee28,Humanitarian aid such as food. Cash is to solve our people's problems. Because a lot of unemployment and lack of money has reached its peak. Thank you ,1,,1,,,,,,,,,,
5185a394-d0be-4c5e-9883-43fb210121c7,Release our money ,1,,1,,,,,,,,,,
5665ceb9-c14c-4172-8e21-7b8bdfef21a0,"In the current company, most importantly, financial and food support ",1,,1,,,,,,,,,,
680d5c56-b832-4836-816f-9d5f1b426f66,Humanitarian aid that is far beyond the reach of the Taliban We need food ,1,,1,,,,,,,,,,
779c2926-d407-477d-aa4f-f24b60031a4a,Food Health services for all Afghans ,1,,1,,,,,,,,,,
8895e42f-9d4d-48d9-918c-ce402e8e4552,"In terms of benefits and support for Afghans living abroad and at home, Afghans must be given in-depth employment. ",1,,1,,,,,,,,,,
92f013b2-77f6-4818-8f63-1eb4797ea36a,The international community must continue to provide humanitarian assistance ,1,,1,,,,,,,,,,
aee0d010-ca16-49a7-941a-4a4ee9f3405a,"In the current situation, the focus of the international community should be on the economy of the people, because there is no work and no burden, and the people are facing poverty and starvation day by day. Because the Taliban benefited more from this aid ",1,,1,,,,,,,,,,
d0535e9a-04fa-436a-afcd-ed6c3aeac4e6,"I want help such as education and work, whether inside or outside the country, for my personal and national economy ",1,,1,,,,,,,,,,
d86d5a8f-03bc-442a-9c7f-4dfbca78d5f6,Go for food and health now ,1,,1,,,,,,,,,,
d8f4b3fd-0bad-4190-9de0-fd03d1f1a73f,First aid such as food for innocent people ,1,,1,,,,,,,,,,
e178a321-24f0-4460-8b93-3f6b5bb48331,Financial support and life support ,1,,1,,,,,,,,,,
e9299c8d-53a2-47d2-af0a-fd36d185255d,Support infrastructure infrastructure to create jobs and jobs Afghans get out of poverty ,1,,1,,,,,,,,,,
f7250b52-17fc-4ffa-95ba-b2db636de9e8,"During this period of eight months, the aid has reached Afghanistan a lot, but this aid is not ",1,,1,,,,,,,,,,
519644d0-7625-4fa1-9035-d7c20395b6cf,"Economic support is now completely secure in Afghanistan. I am still in Afghanistan. We know that security is important. First of all, security is important. There are economic projects now. ",1,,1,1,,,,,,,,,
0199082d-4a6f-4a2b-b93f-a3fe43676389,Healthy financial support as well as ensuring the safety of myself and my family ,1,,1,1,,,,,,,,,
036673aa-9620-40c0-85c5-c4ac2adb5c7a,Free Afghanistan's money Neighboring countries should not be allowed to wage other proxy wars in Afghanistan and the international community should support Afghanistan's economy. ,1,,1,1,,,,,,,,,
94d05eff-fc2e-43f1-bcc8-3d3a2e874da2,Send money and send a lot of civilian forces to support the country ,1,,1,1,,,,,,,,,
749af1be-1d25-46d5-b5ae-47398f2a4376,"At the moment, for those whose lives are in danger, the priority is the life that must be preserved. Help those who are at risk of losing their wives and children due to hunger and disability. For peace between the parties, they do not give up any option and sincere effort. Do not make a group to us, the resentment and turmoil that they threw between us, with a heartfelt confession, the same America can say again that the hypocrisy was in his hands. ",1,,1,1,,1,,,,,,,
ec916d3b-2ee0-4d8a-a155-9e5e42242189,"Security, Economic, Political ",1,,1,1,1,,,,,,,,
e3227d59-f094-4f3e-a2c2-14bc1427baed,"For young people like us, the international community should create a free and independent and non-partisan community so that every knowledgeable young person can take steps for the development, economy and security of their country without any hindrance or delay. ",1,,1,1,1,,,,,,,,
603f7d1f-84be-453a-bed8-fd1c90c2e2c1,Food aid and an inclusive government and security I am a former Gushwar soldier My life is in danger He must pledge that the lives of all Afghans are safe ,1,,1,1,1,,,,,,,1,
088a7c46-5d3c-46e7-ae1c-ddb1a87c8501,"First, economic support; second, security support; third, educational support ",1,,1,1,,1,,,,,,,
8697e3a7-acba-4c94-add3-6219d66db0b4,"An Afghanistan, peace, freedom and support for poverty, homelessness ",1,,1,1,,1,,,,,,,
41e89e7d-cf39-469f-9985-79bb9048325d,"Creating a responsible living environment, creating business, fair treatment between different segments of Afghanistan ... ",1,,1,1,,1,,,,,,,
3d307b84-5c86-48db-b9e1-9f3d88464e17,"Health, food and prevention of interference from neighboring countries ",1,,1,1,,,1,,,,,,
be202173-9bbd-4bca-82e5-340af3d7ccbd,"1- Providing employment opportunities for Afghans through NGOs 2- Providing food and non-food items to poor Afghans by international organizations to help strengthen Afghanistan's economy 3- Preventing resistance fronts and other forms in Afghanistan Afghanistan to stay, put pressure on the Taliban to establish a professional government and a strong government",1,,1,1,,,,1,,,,,
