UUID,7_OpenEnd,7_A,7_B,7_B1,7_B2,7_B3,7_B4,7_B5,7_B6,7_B7,7_C,7_C1,7_C2,7_C3,7_D,7_E
007837ca-55df-4dbd-a7ec-de8ea98a3868,The girls' school should be reopened to the 12th grade. An inclusive government may be good for the people of Afghanistan.,,,,,,,,,,1,1,1,1,,
00ef9d73-2826-4030-ae8c-3b867bb27f45,"The Taliban are doing things, but if they have good facilities, especially in the security of the people, they are very basic and they will not allow neighboring countries, especially Iran and Pakistan, to invade Afghanistan, but the current wisdom of this figure was not neighboring countries. In our territory, our government did not react ",,1,,1,,,,,1,,,,,1,
012b848c-be68-41fb-8975-2c11c2ef44ac,Security is fine. The economy is also recovering ,,1,,1,,1,,,,,,,,,
013d2caa-79c7-4113-9e3c-508c3b4cffee,Islamic system. Peace. ,,1,,1,,,1,1,,,,,,,
014131cc-dc9b-464b-b9af-801c47cc0a93,"The national flag of the country is black, red, and blue. Next to it are the former traitors who were drowned in this country and betrayed this country. Participating in the old army because he is a child of this country, first of all, organizing the schools means a general examination of the teachers. Handing over the work to the workers is not just a matter of hiring professionals. And so on ",,,,,,,,,,,,,,,1
017d4b99-6206-4b06-9921-e6c713172c2b,Only the work of the people should be matched and it should not be a peace and war ,,,,,,,,,,1,,,1,,
01941a92-ca9b-4ff6-9acf-4c41f1f5096c,"Strong fight against evil, corruption, infidelity and atheism ",,1,,,1,,1,,1,,,,,,
019efba7-e3e5-4448-a7c4-60de921cd02d,Education should be free for women to create jobs for the people ,,,,,,,,,,1,1,1,,,
01c7c360-3c42-41cd-97a1-6b107d49f0ab,"The Taliban have been successful in establishing security in Afghanistan so far. The Taliban have been successful in collecting customs revenue, tariffs and taxes. We follow the command of God ",,1,,1,,1,,1,,,,,,,
01e7c533-add1-4fc2-9007-d4106d799e04,Strong will independent and free from corruption ,,1,,,1,,,1,,,,,,,
01eea802-e3a1-4156-9462-def2eb9b40e1,"It must involve other people, and it must end mediation, because mediation is still widespread. ",,,,,,,,,,1,,,1,,
01f25933-7f85-4cb8-b9e1-2abf228610eb,The first part of security is that the Taliban have brought great security. The Taliban must strengthen international relations and some principles that are in conflict with Islam and leave men and women to education. ,,1,,1,,,,,,1,1,1,1,1,
02051df4-8bdb-4052-9945-5e9978a3b4f8,"In my opinion, all their work is right, especially about the hijab ",,1,1,,,,1,,,,,,,,
028f3e2a-0bc8-4d0c-9d69-bcab80ef56ad,The Taliban have done a good job of providing security and justice. Hospitals have a policy of empowering the world and its neighbors ,,1,,1,,,,1,,,,,,,
02fa3aab-e067-49e9-a4da-ff3bfbe641bb,I have no opinion ,,,,,,,,,,,,,,,1
031e67a7-070f-4d12-9ff1-b8d81150405f,Better security The distribution of power ,,1,,1,,,,1,,,,,,,
03456d43-7bfc-4bac-94aa-f2ab16facfd3,Honest service to Afghans must soften the hard line ,,,,,,,,,,,,,,,1
034d9920-3d8f-4cc4-9752-9841a9af8e11,"Security is the key to getting rid of loot and bombs. People are poor, but junk is gone ",1,1,,1,,,,,,1,,,1,,
036673aa-9620-40c0-85c5-c4ac2adb5c7a,"The Taliban are trying to bring security, the Taliban are destroying the corrupt and the thieves, the Taliban are trying to make the country's economy patriotic and self-sufficient, etc. Changes: Those who want to work in the current government must be accommodated, the government must be people-centered. ",,1,,1,1,1,,,1,1,,,1,,
03dcca56-7601-452f-9221-427ecf3b9ddd,"They are honest and committed to their responsibility, that is, they are responsible ",,1,,,1,,,1,,,,,,,
04021df2-55dd-45db-9743-a51738ecc151,Implementing Islam ,,1,,,,,1,,,,,,,,
0405446c-7821-451b-9456-3c132e4719dc,They are good rulers ,,1,1,,,,,1,,,,,,,
0446ad86-d2ec-4bab-b1f9-48618321fd31,Forced labor Yes I want ,,,,,,,,,,,,,,,1
