UUID,context,answer_order,Eldest_Counterbalance,Q-Order_NatPrior_vs._WhichWomRights,W3_Reserve_Treat,weight,age,age_group,gender,q00a_select_language,q01_eldest_child,q02_your_situation,q03_food_security,q04_afghan_reserves,q05_unfreeze_reserves,q05V2_frozen_reserves,q06_support_gov,q07b_taliban_gov_view,q07c_closer_view,q08_safety,q09_human_rights_women,q11_top_three_rights_right_to_education,q11_top_three_rights_right_to_choose_husband,q11_top_three_rights_right_to_divorce_or_0t_marry,q11_top_three_rights_free_in_public_0_harassment,q11_top_three_rights_freedom_to_choose_how_to_dress,q11_top_three_rights_right_to_work_and_earn_money,q11_top_three_rights_right_to_travel_without_escort,q11_top_three_rights_right_to_participate_in_gov,q11_top_three_rights_freedom_to_use_the_internet,q11_top_three_rights_access_healthcare_and_services,q11_top_three_rights_right_0t_be_beaten_by_family,q11_top_three_rights_something_else,q11_top_three_rights_0ne_of_these_are_important,q11V2_top_three_rights_right_to_education,q11V2_top_three_rights_right_to_choose_husband,q11V2_top_three_rights_right_to_divorce_or_0t_marry,q11V2_top_three_rights_free_in_public_0_harassment,q11V2_top_three_rights_freedom_to_choose_how_to_dress,q11V2_top_three_rights_right_to_work_and_earn_money,q11V2_top_three_rights_right_to_travel_without_escort,q11V2_top_three_rights_right_to_participate_in_gov,q11V2_top_three_rights_freedom_to_use_the_internet,q11V2_top_three_rights_access_healthcare_and_services,q11V2_top_three_rights_right_0t_be_beaten_by_family,q11V2_top_three_rights_right_to_seek_asylum,q11V2_top_three_rights_something_else,q11V2_top_three_rights_0ne_of_these_are_important_to_me,q11a_which_rights_open_end_translated,q12_14_agree_avoid_armed_conflict,q12_14_agree_human_rights_violation,q12_14_agree_basic_needs,q15_intl_support_gov,q16_intl_support_taliban,q17_your_views_support_a_peace_process,q17_your_views_use_military_force,q17_your_views_provide_military_support,q17_your_views_help_the_taliban_fight_isisk,q17_your_views_un_peacekeepers_maintain_peace,q17_your_views_afghan_need_international_help,q18_live,q19_financial_situation,q20_education,q21_province,q22_religion_importance,q23_marital_status,urban_rural
000080a0-29cc-4b84-8754-8238e8da5c94,3,1,1,,,3.526129243,55,55_64,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00052d71-ea8d-47bb-9d12-a38eecfd852d,4,2,1,,,0.45752813,19,18_24,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000729f4-1a5b-4e6d-b5ce-c4ec9cc94c1e,4,2,1,,,3.655297324,51,45_54,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000b84a3-cab2-4b0d-a38d-24ff398674b3,4,2,2,1,1,1.56868459,27,25_34,2,2,2,1,1,2,3,,3,5,,1,5,,,,,,,,,,,,,,1,1,0,0,1,1,1,1,0,0,0,1,0,0,,5,5,5,1,1,0,0,0,0,1,1,3,3,6,18,4,2,1
000e4d48-92e9-4d98-8344-cb88e5f57773,3,2,1,,,1.663463131,57,55_64,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000ee14f-ca62-419e-a78c-165d666faddb,2,2,2,,,0.969846153,20,18_24,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012b174-8ded-418b-b74b-c951efab08cf,4,1,2,,,1.56868459,32,25_34,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00130c99-9ec2-4eb0-b9da-4ef817978d9c,4,2,1,,1,1.56868459,26,25_34,2,2,2,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00140f76-dfe3-47f1-a16b-f7bad9aef3d6,3,2,2,,,0.740032143,29,25_34,1,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015680b-05ae-402e-9fbb-71977ad5a646,3,1,2,2,,0.740032143,25,25_34,1,1,,1,5,2,3,,5,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,
0015b529-d0be-4ac0-b399-8bc804024e6c,2,1,2,1,,0.740032143,28,25_34,1,1,2,1,1,2,2,,3,3,,1,5,1,1,0,0,0,0,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,4,4,4,1,1,1,0,0,0,1,0,4,2,1,13,4,2,0
0015f510-19ce-4261-9fe1-a43c820cb238,2,2,2,1,,0.740032143,34,25_34,1,1,3,5,4,1,2,,4,,,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,5,5,5,2,2,0,0,1,1,1,1,4,3,6,27,4,1,0
0016322c-ac13-4fda-a65f-d05ff4fb1d4e,4,1,2,2,2,0.45752813,18,18_24,1,1,,3,1,1,,1,3,1,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
0019952c-8d91-4c0d-acc4-925441276e5d,4,1,2,,,0.45752813,23,18_24,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001e7279-0e7c-4628-bd40-71edef3ac9e5,4,2,2,,,3.655297324,54,45_54,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001f9102-fc14-41cf-8ca2-fa531354a427,2,2,1,,,0.740032143,25,25_34,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00201c28-8697-4909-b2f6-6901dc8ca41e,4,2,2,1,2,0.740032143,26,25_34,1,2,3,4,1,1,,3,1,5,,3,1,,,,,,,,,,,,,,0,1,0,0,0,1,1,0,1,1,1,0,0,0,,3,1,4,2,2,1,0,0,0,0,0,1,2,6,22,4,2,1
002ac58b-cb85-436a-a5f0-255e62bc6091,4,2,2,,1,0.740032143,25,25_34,1,2,,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002cbc0e-bd02-4682-9b66-38f752978c9c,2,1,2,2,,1.023851028,35,35_44,1,2,,5,1,1,3,,1,4,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,
002dae2a-862f-47e7-b1f0-902d5c07463e,4,1,1,,,0.45752813,18,18_24,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00351bef-37b7-4595-8f23-ef98beca95bf,3,2,2,1,,0.45752813,18,18_24,1,2,,5,3,2,1,,5,,,3,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,3,3,,,,,,,,,,,,,,,
00351f87-8aac-49dd-8e79-1e8ea71741a2,4,1,1,,,0.740032143,26,25_34,1,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00357d5f-aada-4412-aff6-1996bfc66a1b,2,2,1,,,0.969846153,20,18_24,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037923d-9aeb-4678-81f9-d235de53dcbe,4,2,2,,,0.969846153,18,18_24,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
